k,bf_size,set_size,fp_count,ones_count
1,8,5,0,5.0
1,8,50,42,8.0
1,8,500,492,8.0
1,16,5,0,5.0
1,16,50,34,16.0
1,16,500,484,16.0
1,1024,5,0,5.0
1,1024,50,1,49.0
1,1024,500,115,385.0
1,524288,5,0,5.0
1,524288,50,0,50.0
1,524288,500,0,500.0
1,134217728,5,0,5.0
1,134217728,50,0,50.0
1,134217728,500,0,500.0
2,8,5,1,3.0
2,8,50,44,4.0
2,8,500,494,4.0
2,16,5,1,4.0
2,16,50,39,8.0
2,16,500,489,8.0
2,1024,5,0,5.0
2,1024,50,0,49.5
2,1024,500,84,320.0
2,524288,5,0,5.0
2,524288,50,0,50.0
2,524288,500,0,499.5
2,134217728,5,0,5.0
2,134217728,50,0,50.0
2,134217728,500,0,500.0
3,8,5,1,2.33
3,8,50,45,2.67
3,8,500,495,2.67
3,16,5,1,3.67
3,16,50,40,5.33
3,16,500,490,5.33
3,1024,5,0,5.0
3,1024,50,0,47.67
3,1024,500,95,257.67
3,524288,5,0,5.0
3,524288,50,0,50.0
3,524288,500,0,499.67
3,134217728,5,0,5.0
3,134217728,50,0,50.0
3,134217728,500,0,500.0
4,8,5,1,1.75
4,8,50,47,2.0
4,8,500,496,2.0
4,16,5,0,3.5
4,16,50,42,4.0
4,16,500,492,4.0
4,1024,5,0,5.0
4,1024,50,0,46.0
4,1024,500,101,218.75
4,524288,5,0,5.0
4,524288,50,0,50.0
4,524288,500,0,499.5
4,134217728,5,0,5.0
4,134217728,50,0,50.0
4,134217728,500,0,500.0
